region;area;city;settlement;street;house
Сахалинская обл;;г Южно-Сахалинск;;ул Пуркаева М.А.;102Б
Алтайский край;;г Бийск;;ул Сенная;124И
Свердловская обл;;г Ирбит;;ул Советская;102Г
Новосибирская обл;;г Новосибирск;;ул Волочаевская;57А
Респ Удмуртская;;г Воткинск;;ул Привокзальная;6
Тюменская обл;Вагайский р-н;;с Вагай;ул Октябрьская;7В
Челябинская обл;;г Южноуральск;;ул Советской Армии;25
Иркутская обл;;г Шелехов;;ул Култукский тракт;26
Омская обл;Азовский немецкий национальный р-н;;с Азово;ул Заготзерно;5Б
Тамбовская обл;;г Тамбов;;ул Рабочая;129
Новосибирская обл;;г Новосибирск;;ш 1-е Мочищенское;5
Владимирская обл;Кольчугинский р-н;г Кольчугино;;пер Гоголя;6
Приморский край;;г Владивосток;;ул 5-я Проходная;15
Липецкая обл;;г Елец;;ш Московское;28
Ханты-Мансийский Автономный округ - Югра АО;;г Нижневартовск;;ул Мира;3П
Тверская обл;;г Кимры;;ул Баклаева;9
Свердловская обл;;г Красноуфимск;;ул Интернациональная;166
Саратовская обл;;г Саратов;;ул им Азина В.М.;21А
Владимирская обл;Вязниковский р-н;г Вязники;;ул Железнодорожная;8
Рязанская обл;;г Рязань;;проезд Яблочкова;8Г
Владимирская обл;Киржачский р-н;г Киржач;мкр Красный Октябрь;проезд Больничный;1В
Омская обл;Калачинский р-н;г Калачинск;;ул Советская;86
Псковская обл;;г Псков;;пр-кт Рижский;100Б
Респ Марий Эл;;г Козьмодемьянск;;ул Гагарина;76
Алтайский край;Каменский р-н;г Камень-на-Оби;;ул Кондратюка;22А
Ростовская обл;;г Гуково;;ул Чернышевского;33
Ставропольский край;Петровский р-н;г Светлоград;;ул Трудовая;21
Новгородская обл;;г Великий Новгород;;ул Ломоносова;5
Ставропольский край;;г Ставрополь;;ш Старомарьевское;21
